R,G,B, HEX
190,189,127,#BEBD7F
194,176,120,#C2B078
198,166,100,#C6A664
229,190,1,#E5BE01
205,164,52,#CDA434
169,131,7,#A98307
228,160,16,#E4A010
220,156,0,#DC9D00
138,102,66,#8A6642
199,180,70,#C7B446
234,230,202,#EAE6CA
225,204,79,#E1CC4F
230,214,144,#E6D690
237,255,33,#EDFF21
245,208,51,#F5D033
248,243,53,#F8F32B
158,151,100,#9E9764
153,153,80,#999950
243,218,11,#F3DA0B
250,210,1,#FAD201
174,160,75,#AEA04B
255,255,0,#FFFF00
157,145,1,#9D9101
244,169,0,#F4A900
214,174,1,#D6AE01
243,165,5,#F3A505
239,169,74,#EFA94A
106,93,77,#6A5D4D
112,83,53,#705335
243,159,24,#F39F18
237,118,14,#ED760E
201,60,32,#C93C20
203,40,33,#CB2821
255,117,20,#FF7514
244,70,17,#F44611
255,35,1,#FF2301
255,164,32,#FFA420
247,94,37,#F75E25
245,64,33,#F54021
216,75,32,#D84B20
236,124,38,#EC7C26
235,106,14,#E55137
195,88,49,#C35831
175,43,30,#AF2B1E
165,32,25,#A52019
162,35,29,#A2231D
155,17,30,#9B111E
117,21,30,#75151E
94,33,41,#5E2129
65,34,39,#412227
100,36,36,#642424
120,31,25,#781F19
193,135,107,#C1876B
161,35,18,#A12312
211,110,112,#D36E70
234,137,154,#EA899A
179,40,33,#B32821
230,50,68,#E63244
213,48,50,#D53032
204,6,5,#CC0605
217,80,48,#D95030
248,0,0,#F80000
254,0,0,#FE0000
197,29,52,#C51D34
203,50,52,#CB3234
179,36,40,#B32428
114,20,34,#721422
180,76,67,#B44C43
222,76,138,#6D3F5B
146,43,62,#922B3E
222,76,138,#DE4C8A
110,28,52,#641C34
108,70,117,#6C4675
160,52,114,#A03472
74,25,44,#4A192C
144,70,132,#924E7D
164,125,144,#A18594
215,45,109,#CF3476
134,115,161,#8673A1
108,104,129,#6C6874
42,46,75,#354D73
31,52,56,#1F3438
32,33,79,#20214F
29,30,51,#1D1E33
32,33,79,#18171C
30,45,110,#1E2460
62,95,138,#3E5F8A
38,37,45,#26252D
2,86,105,#025669
14,41,75,#0E294B
35,26,36,#231A24
59,131,189,#3B83BD
37,41,74,#1E213D
96,111,140,#606E8C
34,113,179,#2271B3
6,57,113,#063971
63,136,143,#3F888F
27,85,131,#1B5583
29,51,74,#1D334A
37,109,123,#256D7B
37,40,80,#252850
73,103,141,#49678D
93,155,155,#5D9B9B
42,100,120,#2A6478
16,44,84,#102C54
49,102,80,#316650
40,114,51,#287233
45,87,44,#2D572C
66,70,50,#424632
31,58,61,#1F3A3D
47,69,56,#2F4538
62,59,50,#3E3B32
52,59,41,#343B29
57,53,42,#39352A
49,55,43,#31372B
53,104,45,#35682D
88,114,70,#587246
52,62,64,#343E40
108,113,86,#6C7156
71,64,46,#47402E
59,60,54,#3B3C36
30,89,69,#1E5945
76,145,65,#4C9141
87,166,57,#57A639
189,236,182,#BDECB6
46,58,35,#2E3A23
137,172,118,#89AC76
37,34,27,#25221B
48,132,70,#308446
61,100,45,#3D642D
1,93,82,#015D52
132,195,190,#84C3BE
44,85,69,#2C5545
32,96,61,#20603D
49,127,67,#317F43
73,126,118,#497E76
127,181,181,#7FB5B5
28,84,45,#1C542D
22,53,55,#193737
0,143,57,#008F39
0,187,45,#00BB2D
120,133,139,#78858B
138,149,151,#8A9597
126,123,82,#7E7B52
108,112,89,#6C7059
150,153,146,#969992
100,107,99,#646B63
109,101,82,#6D6552
106,95,49,#6A5F31
77,86,69,#4D5645
76,81,74,#4C514A
67,75,77,#434B4D
78,87,84,#4E5754
70,69,49,#464531
67,71,80,#434750
41,49,51,#293133
35,40,43,#23282B
51,47,44,#332F2C
104,108,94,#686C5E
71,74,81,#474A51
47,53,59,#2F353B
139,140,122,#8B8C7A
71,75,78,#474B4E
184,183,153,#B8B799
125,132,113,#7D8471
143,139,102,#8F8B66
215,215,215,#D7D7D7
127,118,121,#7F7679
125,127,120,#7D7F7D
195,195,195,#B5B8B1
108,105,96,#6C6960
157,161,170,#9DA1AA
141,148,141,#8D948D
78,84,82,#4E5452
202,196,176,#CAC4B0
144,144,144,#909090
130,137,143,#82898F
208,208,208,#D0D0D0
137,129,118,#898176
130,108,52,#826C34
149,95,32,#955F20
108,59,42,#6C3B2A
115,66,34,#734222
142,64,42,#8E402A
89,53,31,#59351F
111,79,40,#6F4F28
91,58,41,#5B3A29
89,35,33,#592321
56,44,30,#382C1E
99,58,52,#633A34
76,47,39,#4C2F27
69,50,46,#45322E
64,58,58,#403A3A
33,33,33,#212121
166,94,46,#A65E2E
121,85,61,#79553D
117,92,72,#755C48
78,59,49,#4E3B31
118,60,40,#763C28
250,244,227,#FDF4E3
231,235,218,#E7EBDA
244,244,244,#F4F4F4
40,40,40,#282828
10,10,13,#0A0A0A
165,165,165,#A5A5A5
143,143,143,#8F8F8F
255,255,255,#FFFFFF
28,28,28,#1C1C1C
246,246,246,#F6F6F6
30,30,30,#1E1E1E
215,215,215,#D7D7D7
156,156,156,#9C9C9C
130,130,130,#828282
